file1,file2
input/50A/21508898.cpp,input/50A/30534178.cpp
input/50A/164831265.cpp,input/50A/45851050.cpp
input/50A/21508887.cpp,input/50A/30534178.cpp
input/50A/21508887.cpp,input/50A/21508898.cpp
input/50A/138805414.cpp,input/50A/30534178.cpp
input/50A/138805414.cpp,input/50A/21508898.cpp
input/50A/138805414.cpp,input/50A/21508887.cpp
input/50A/142890373.cpp,input/50A/30534178.cpp
input/50A/142890373.cpp,input/50A/21508898.cpp
input/50A/142890373.cpp,input/50A/21508887.cpp
input/50A/142890373.cpp,input/50A/138805414.cpp
input/4A/173077807.cpp,input/4A/84822639.cpp
input/4A/134841308.cpp,input/4A/127473352.cpp
input/4A/84822638.cpp,input/4A/84822639.cpp
input/4A/84822638.cpp,input/4A/173077807.cpp
